Metric,Window,Estimate,LB,UB,p
in_range_70_180,90,-0.5837240313854984,-2.4894499295363635,1.3220018667653664,0.5484380854421385
in_range_70_180,60,-0.5006427465882736,-2.40636864473914,1.4050831515625926,0.6067594339864519
in_range_70_180,30,-0.6340894934761722,-2.539815391627038,1.2716364046746933,0.5144862304789044
in_range_70_180,14,-0.028166858173373218,-1.9338927563242383,1.877559039977492,0.9768962498722027
in_range_70_180,7,0.04109856834030895,-1.864627329810555,1.9468244664911727,0.9662943959199547
CV,90,-0.1584017809715403,-1.0884433225614074,0.7716397606183268,0.7385988802256305
CV,60,0.017414433184777783,-0.9126271084050894,0.9474559747746449,0.9707332351029387
CV,30,-0.33184488305852455,-1.2618864246483916,0.5981966585313426,0.4845350245368867
CV,14,-0.5779302276625158,-1.507971769252383,0.3521113139273514,0.22358943628965855
CV,7,-1.058735942863634,-1.988777484453501,-0.12869440127376697,0.02593328777048664
below_70,90,-0.02227362472402713,-0.11279389210685015,0.0682466426587959,0.6297327186913932
below_70,60,-0.01650502378602681,-0.10702529116884985,0.07401524359679623,0.7209005661462506
below_70,30,0.004929155633902173,-0.08559111174892084,0.09544942301672518,0.915029701027261
below_70,14,0.05358975943976892,-0.036930507943054046,0.14411002682259189,0.24623667229284663
below_70,7,0.023021698036372596,-0.06749856934645042,0.1135419654191956,0.618277943974161
episode_rate,90,-0.0082394233614415,-0.05450298937254296,0.03802414264965997,0.7271245345910315
episode_rate,60,-0.011247344310402488,-0.05751091032150396,0.035016221700698985,0.6338404563213944
episode_rate,30,0.005901244854697857,-0.040362321156403605,0.05216481086579931,0.8026400474930955
episode_rate,14,0.01556671805907624,-0.030696847952025205,0.06183028407017768,0.5097584407051791
episode_rate,7,0.004183567903087341,-0.04207999810801412,0.0504471339141888,0.8593624638171522
