metric,length,estimate,se,t
in_range_70_180,7,11.213759980402887,1.6381109972646002,6.845543433337658
in_range_70_180,14,11.193922659195076,1.396278151546301,8.01697186681495
in_range_70_180,30,10.64720953905792,1.2367702584615963,8.608882261044874
in_range_70_180,60,10.738820497698264,1.2335637935568426,8.705525043608876
in_range_70_180,90,10.653593820613665,1.2033291859773665,8.853432580844963
in_range_70_180,182,11.235469424529427,1.2285519596472108,9.145294455234753
CV,7,-3.774933110899915,0.8088833724419819,-4.666844738696463
CV,14,-3.35817028317561,0.7397811025773561,-4.539410741198893
CV,30,-3.109344944306779,0.6316804172534058,-4.922338669016281
CV,60,-2.74031097720508,0.5826796484465132,-4.702946094841384
CV,90,-2.9138774094962994,0.5628203356798548,-5.177278120159788
CV,182,-2.7358624783805734,0.5378071140556101,-5.08707007936247
below_70,7,-0.8469017918470827,0.2797160408708772,-3.0277197875756805
below_70,14,-0.8840339136047028,0.2794248225811622,-3.1637629951359276
below_70,30,-0.8499415825609993,0.20754022748705223,-4.095310065196996
below_70,60,-0.9718801304193668,0.18921393005227177,-5.136408985061922
below_70,90,-0.9748196287628538,0.1801757411057477,-5.41038223448027
below_70,182,-0.9094637045805921,0.16115407229040934,-5.643442276417836
tot_hyper_ep,7,-1.1745564919406892,0.5138094791576931,-2.285976688997998
tot_hyper_ep,14,-2.4713052613929865,0.9129370965794402,-2.7069830666892427
tot_hyper_ep,30,-5.591073199350193,1.7372232539582786,-3.218396476452225
tot_hyper_ep,60,-13.68981282806181,3.1231740639063026,-4.383301265936907
tot_hyper_ep,90,-19.82391779928963,4.4461299382231205,-4.458690608401829
tot_hyper_ep,182,-36.88773752099762,7.979335732335927,-4.622908316980772
