Metric,Window,Estimate,LB,UB,p
in_range_70_180,90,-0.5837240313859763,-2.489449748573669,1.3220016858017165,0.5484380474585748
in_range_70_180,60,-0.5006427465887504,-2.4063684637764426,1.4050829705989418,0.606759399818929
in_range_70_180,30,-0.634089493476649,-2.5398152106643415,1.2716362237110435,0.5144861905351557
in_range_70_180,14,-0.02816685817385063,-1.9338925753615428,1.8775588590138417,0.9768962476778398
in_range_70_180,7,0.04109856833982609,-1.8646271488478663,1.9468242855275186,0.9662943927206193
CV,90,-0.15840178097277427,-1.0884424948800793,0.7716389329345307,0.738598656035277
CV,60,0.017414433183543996,-0.9126262807237607,0.9474551470908487,0.9707332090626719
CV,30,-0.3318448830597589,-1.2618855969670637,0.5981958308475458,0.4845346356982727
CV,14,-0.5779302276637495,-1.507970941571054,0.3521104862435551,0.22358902426017513
CV,7,-1.0587359428648673,-1.9887766567721719,-0.12869522895756258,0.025933155506844024
below_70,90,-0.02227362472398818,-0.11279374058978768,0.06824649114181132,0.629732145319682
below_70,60,-0.01650502378598787,-0.10702513965178735,0.07401509207981162,0.7209001183884058
below_70,30,0.004929155633941134,-0.08559096023185837,0.09544927149974065,0.9150295592930956
below_70,14,0.05358975943980794,-0.03693035642599159,0.14410987530560748,0.24623588169667365
below_70,7,0.02302169803641156,-0.06749841782938794,0.11354181390221106,0.6182773560341619
episode_rate,90,-0.008239423361434146,-0.054502989588103304,0.03802414286523502,0.7271245358123284
episode_rate,60,-0.011247344310395164,-0.057510910537064336,0.035016221916274,0.6338404579029968
episode_rate,30,0.0059012448547051954,-0.04036232137196397,0.052164811081374364,0.8026400483937564
episode_rate,14,0.015566718059083587,-0.030696848167585583,0.061830284285752754,0.509758442677563
episode_rate,7,0.0041835679030946945,-0.04207999832357447,0.050447134129763864,0.859362464465592
